epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.568,2.01853,3.28736,1.45888,0.01009,0.51667,0.49791,0.36236,1.49395,3.04477,1.10874,0.00011669,0.00011669,0.00011669
2,175.017,1.0633,1.73293,1.01892,0.99809,0.5,0.5245,0.36221,1.23009,2.31236,0.91932,0.000245099,0.000245099,0.000245099
3,244.523,0.90192,0.95675,0.98105,0.97548,0.5,0.52128,0.40693,1.07747,2.17096,0.91507,0.000368227,0.000368227,0.000368227
4,314.203,0.79335,0.80192,0.95326,0.99821,0.5,0.64836,0.48602,1.01002,1.93409,0.92519,0.000486074,0.000486074,0.000486074
5,384.719,0.73536,0.74625,0.92466,0.99236,0.5,0.93406,0.68193,0.99152,1.67044,0.88941,0.00059864,0.00059864,0.00059864
6,454.953,0.71823,0.71281,0.91243,0.98422,0.5,0.91358,0.7327,0.84335,1.53245,0.88229,0.000705924,0.000705924,0.000705924
7,525.794,0.69311,0.68274,0.89699,0.99233,0.78464,0.9701,0.73,0.90071,1.36359,0.89055,0.000807928,0.000807928,0.000807928
8,627.277,0.67178,0.66662,0.90327,0.90559,0.79395,0.96553,0.78711,0.71667,1.42562,0.88177,0.000904651,0.000904651,0.000904651
9,696.611,0.61018,0.65563,0.90409,0.9927,0.75694,0.95419,0.81325,0.72099,1.31052,0.87119,0.000996093,0.000996093,0.000996093
10,765.919,0.62075,0.62823,0.89177,0.9924,0.91631,0.96574,0.71286,0.87926,1.05188,0.86664,0.00108225,0.00108225,0.00108225
11,835.358,0.63088,0.62671,0.88684,0.9923,0.95348,0.9655,0.74153,0.75779,0.94377,0.90945,0.00116313,0.00116313,0.00116313
12,927.659,0.61969,0.62746,0.89098,0.99243,0.93993,0.96961,0.7933,0.69488,0.94387,0.9177,0.00123873,0.00123873,0.00123873
13,997.442,0.59412,0.62051,0.90319,0.98926,0.95833,0.96875,0.74881,0.76765,0.9838,0.87297,0.00127092,0.00127092,0.00127092
14,1067.14,0.61965,0.60657,0.8797,0.9821,0.95833,0.97714,0.79738,0.74448,0.78626,0.87312,0.00123791,0.00123791,0.00123791
15,1136.64,0.65421,0.60869,0.88397,0.99307,0.95833,0.97871,0.76919,0.81568,0.70731,0.90156,0.00120491,0.00120491,0.00120491
16,1206.68,0.60102,0.58226,0.88387,0.99352,0.95833,0.97908,0.81806,0.68394,0.70399,0.87451,0.0011719,0.0011719,0.0011719
17,1277.22,0.57095,0.56777,0.87258,0.99313,0.96667,0.98571,0.77456,0.77459,0.71672,0.87292,0.00113889,0.00113889,0.00113889
18,1353.64,0.55287,0.55481,0.86126,0.99431,0.96667,0.97802,0.81107,0.63463,0.63311,0.86864,0.00110589,0.00110589,0.00110589
19,1432.5,0.52064,0.52791,0.87643,0.99672,0.96667,0.97836,0.85509,0.53408,0.5807,0.87519,0.00107288,0.00107288,0.00107288
20,1553.36,0.48132,0.48957,0.86212,0.99661,0.96625,0.97929,0.85547,0.53157,0.56166,0.87502,0.00103987,0.00103987,0.00103987
21,1666.85,0.47868,0.49266,0.85874,0.99508,0.96624,0.97953,0.83538,0.54352,0.59923,0.88548,0.00100687,0.00100687,0.00100687
22,1784.75,0.51026,0.5102,0.86356,0.99527,0.96644,0.9784,0.84967,0.52824,0.61649,0.88396,0.000973861,0.000973861,0.000973861
23,1899.55,0.45735,0.47539,0.85125,0.99709,0.96667,0.97757,0.89412,0.44976,0.6127,0.89449,0.000940855,0.000940855,0.000940855
24,2015.32,0.44493,0.47641,0.85357,0.99477,0.97423,0.97684,0.88514,0.44167,0.48966,0.84674,0.000907848,0.000907848,0.000907848
25,2108.75,0.4676,0.48487,0.86219,0.99848,0.96667,0.9767,0.89119,0.42371,0.45883,0.8365,0.000874842,0.000874842,0.000874842
26,2178.89,0.43814,0.44858,0.85606,0.99758,0.96667,0.97869,0.86675,0.49205,0.47843,0.83333,0.000841835,0.000841835,0.000841835
27,2268.18,0.41532,0.44973,0.84966,0.99564,0.96561,0.97867,0.91143,0.40333,0.4491,0.83963,0.000808828,0.000808828,0.000808828
28,2390.82,0.41569,0.43664,0.84959,0.99571,0.96549,0.97842,0.914,0.40845,0.45981,0.83392,0.000775822,0.000775822,0.000775822
29,2515.15,0.42476,0.44839,0.85229,0.99689,0.96573,0.97598,0.8899,0.42283,0.44035,0.83752,0.000742815,0.000742815,0.000742815
30,2640.41,0.39289,0.43209,0.85222,0.99579,0.97377,0.97708,0.8936,0.44514,0.45478,0.84014,0.000709809,0.000709809,0.000709809
31,2729.78,0.37957,0.41881,0.84172,0.99901,0.96603,0.97851,0.87299,0.45428,0.46379,0.85778,0.000676802,0.000676802,0.000676802
32,2800.47,0.39329,0.40958,0.84086,0.99853,0.96667,0.97906,0.89742,0.4222,0.42527,0.84788,0.000643795,0.000643795,0.000643795
33,2870.68,0.40159,0.4309,0.84488,0.99577,0.97411,0.97652,0.88784,0.40537,0.42102,0.8529,0.000610789,0.000610789,0.000610789
34,2940.78,0.35787,0.39826,0.84356,0.99747,0.96667,0.97841,0.92029,0.38354,0.41044,0.84695,0.000577782,0.000577782,0.000577782
35,3011.09,0.36561,0.4018,0.82717,0.9974,0.96667,0.97697,0.92804,0.32622,0.39974,0.85338,0.000544776,0.000544776,0.000544776
36,3082.22,0.36546,0.40889,0.84427,0.99678,0.96667,0.9791,0.92729,0.39462,0.43712,0.85256,0.000511769,0.000511769,0.000511769
37,3160.23,0.33205,0.38909,0.84963,0.99717,0.96667,0.97909,0.93501,0.32472,0.4177,0.85327,0.000478762,0.000478762,0.000478762
38,3232.37,0.32215,0.37959,0.84306,0.99707,0.96667,0.97902,0.9357,0.31926,0.42691,0.85133,0.000445756,0.000445756,0.000445756
